,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
35,,"11,055",1989,2017,신흥6길,00005,00000,47280,01,0,4736427,흥덕동,0776,0000,47280,10300,1,황제,8,12,47280-16,84.955,776,47280,5,,
36,,"19,100",2011,2017,호서로,00101,00000,47280,03,0,3312031,흥덕동,0314,0004,47280,10300,1,건영웰스파크,8,17,47280-224,84.97,314-4,47280,1,,
37,,"6,700",2008,2017,돈달로,00199,00000,47280,02,0,3312006,흥덕동,0631,0001,47280,10300,1,푸른숲,8,29,47280-177,48.31,631-1,47280,7,,
38,,"6,500",2008,2017,돈달로,00199,00000,47280,02,0,3312006,흥덕동,0631,0001,47280,10300,1,푸른숲,8,31,47280-177,48.31,631-1,47280,3,,
39,,"3,000",2000,2017,공평로,00058,00009,47280,04,0,3312002,공평동,0404,0013,47280,10900,1,신평마을,8,10,47280-42,38.52,404-13,47280,10,,
40,,"14,000",2006,2017,매봉로,00055,00005,47280,03,0,3312007,모전동,0915,0002,47280,11000,1,삼성에버빌,8,1,47280-162,84.66,915-2,47280,2,,
41,,"27,050",2014,2017,당교6길,00025,00000,47280,01,0,4736140,모전동,1150,0000,47280,11000,1,문경코아루,8,2,47280-257,84.982,1150,47280,3,,
42,,"14,500",1998,2017,매봉1길,00035,00000,47280,01,0,4736198,모전동,0908,0000,47280,11000,1,주공매봉마을(1단지)201-206동,8,4,47280-27,59.47,908,47280,18,,
43,,"7,000",1987,2017,모전로,00117,00000,47280,01,0,3018044,모전동,0387,0001,47280,11000,1,중앙,8,4,47280-28,48.96,387-1,47280,1,,
44,,"26,500",2008,2017,여중1길,00030,00000,47280,01,0,4736463,모전동,0949,0000,47280,11000,1,신원아침도시,8,8,47280-183,84.9746,949,47280,7,,
45,,"27,500",2014,2017,당교6길,00025,00000,47280,01,0,4736140,모전동,1150,0000,47280,11000,1,문경코아루,8,8,47280-257,84.98,1150,47280,8,,
46,,"25,900",2008,2017,여중1길,00030,00000,47280,01,0,4736463,모전동,0949,0000,47280,11000,1,신원아침도시,8,14,47280-183,84.9746,949,47280,17,,
47,,"28,400",2014,2017,당교6길,00025,00000,47280,01,0,4736140,모전동,1150,0000,47280,11000,1,문경코아루,8,14,47280-257,84.982,1150,47280,14,,
48,,"14,000",1998,2017,매봉1길,00035,00000,47280,01,0,4736198,모전동,0908,0000,47280,11000,1,주공매봉마을(1단지)201-206동,8,16,47280-27,59.47,908,47280,17,,
49,,"14,800",1995,2017,매봉4길,00025,00000,47280,01,0,4736201,모전동,0870,0000,47280,11000,1,모전주공101동102동,8,17,47280-21,58.65,870,47280,15,,
50,,"19,062",2012,2017,여중1길,00034,00000,47280,01,0,4736463,모전동,0949,0008,47280,11000,1,서원오아시스,8,17,47280-239,84.9838,949-8,47280,8,,
51,,"20,300",1995,2017,시청3길,00010,00000,47280,00,0,4736399,모전동,0264,0001,47280,11000,1,현대,8,19,47280-30,84.905,264-1,47280,7,,
52,,"23,200",2015,2017,시청1길,00027,00000,47280,00,0,4736397,모전동,0864,0001,47280,11000,1,관문파라다이스102동,8,19,47280-263,84.66,864-1,47280,7,,
53,,"24,500",2014,2017,당교6길,00025,00000,47280,01,0,4736140,모전동,1150,0000,47280,11000,1,문경코아루,8,20,47280-257,73.768,1150,47280,10,,
54,,"24,500",2015,2017,시청1길,00027,00000,47280,00,0,4736397,모전동,0864,0001,47280,11000,1,관문파라다이스102동,8,20,47280-263,84.66,864-1,47280,4,,
55,,"13,000",1995,2017,시청3길,00010,00000,47280,00,0,4736399,모전동,0264,0001,47280,11000,1,현대,8,22,47280-30,59.4,264-1,47280,2,,
56,,"25,500",2008,2017,여중1길,00030,00000,47280,01,0,4736463,모전동,0949,0000,47280,11000,1,신원아침도시,8,23,47280-183,84.9746,949,47280,2,,
57,,"15,000",1998,2017,매봉1길,00035,00000,47280,01,0,4736198,모전동,0908,0000,47280,11000,1,주공매봉마을(1단지)201-206동,8,24,47280-27,59.47,908,47280,13,,
58,,"25,000",2014,2017,당교6길,00025,00000,47280,01,0,4736140,모전동,1150,0000,47280,11000,1,문경코아루,8,24,47280-257,73.768,1150,47280,12,,
59,,"14,800",1998,2017,매봉1길,00035,00000,47280,01,0,4736198,모전동,0908,0000,47280,11000,1,주공매봉마을(1단지)201-206동,8,24,47280-27,59.47,908,47280,8,,
60,,"10,800",1998,2017,매봉1길,00035,00000,47280,01,0,4736198,모전동,0908,0000,47280,11000,1,주공매봉마을(1단지)201-206동,8,24,47280-27,49.76,908,47280,17,,
61,,"9,000",1993,2017,새동네2길,00020,00000,47280,01,0,4736345,모전동,0106,0002,47280,11000,1,2차무지개맨션,8,25,47280-23,83.36,106-2,47280,5,,
62,,"28,600",2014,2017,당교6길,00025,00000,47280,01,0,4736140,모전동,1150,0000,47280,11000,1,문경코아루,8,25,47280-257,84.989,1150,47280,17,,
63,,"14,200",1995,2017,시청3길,00010,00000,47280,00,0,4736399,모전동,0264,0001,47280,11000,1,현대,8,28,47280-30,59.4,264-1,47280,6,,
64,,"13,200",1991,2017,모전로,00094,00000,47280,01,0,3018044,모전동,0118,0004,47280,11000,1,남도맨션,8,29,47280-19,84.75,118-4,47280,2,,
65,,"13,500",1995,2017,시청3길,00010,00000,47280,00,0,4736399,모전동,0264,0001,47280,11000,1,현대,8,30,47280-30,59.4,264-1,47280,11,,
66,,"25,000",2014,2017,당교6길,00025,00000,47280,01,0,4736140,모전동,1150,0000,47280,11000,1,문경코아루,8,30,47280-257,73.768,1150,47280,4,,
